SourceFile,Record
223_SALES_DATA_NNME_28102024.DAT,B;223;4578645;57;20241028 01:06;;;;BRINGELLY RD;ROSSMORE;2557;1309;M;20240617;20240920;29500;;V;VACANT LAND;;;;0;AU454023;
223_SALES_DATA_NNME_28102024.DAT,B;223;4564551;58;20241028 01:06;;2;22;HOLLAND CRES;CASULA;2170;165;M;20240904;20241021;800000;;R;RESIDENCE;2;;;0;AU515018;
223_SALES_DATA_NNME_28102024.DAT,B;223;4514645;59;20241028 01:06;;;9;APPENZELL ST;AUSTRAL;2179;334.2;M;20240912;20241024;640000;R2;V;VACANT LAND;;AUS;;0;AU525390;
223_SALES_DATA_NNME_28102024.DAT,B;223;4551991;60;20241028 01:06;;;41;YANDANOOKA ST;AUSTRAL;2179;403;M;20240911;20241018;710000;R2;R;RESIDENCE;;AUS;;0;AU508891;
223_SALES_DATA_NNME_28102024.DAT,B;223;4546057;61;20241028 01:06;;;36;WARRAWAL AVE;AUSTRAL;2179;240;M;20240906;20241018;520000;R3;V;VACANT LAND;;AST;;0;AU509400;
223_SALES_DATA_NNME_28102024.DAT,B;223;3190669;62;20241028 01:06;;76;29;CAMPBELL ST;LIVERPOOL;2170;;;20240904;20241024;450000;;R;RESIDENCE;76;;;0;AU525967;
223_SALES_DATA_NNME_28102024.DAT,B;223;3253174;63;20241028 01:06;;2;5;MACARTHUR DR;HOLSWORTHY;2173;;;20240907;20241021;870000;;R;RESIDENCE;2;;;0;AU512577;
223_SALES_DATA_NNME_28102024.DAT,B;223;3271203;64;20241028 01:06;;8;4;LACHLAN ST;LIVERPOOL;2170;;;20240912;20241024;455000;;R;RESIDENCE;8;;;0;AU524615;
223_SALES_DATA_NNME_28102024.DAT,B;223;4382968;65;20241028 01:06;;;71;PORT HEDLAND RD;EDMONDSON PARK;2174;458.5;M;20240903;20241018;985000;R1;R;RESIDENCE;;DAA;;0;AU507895;
223_SALES_DATA_NNME_28102024.DAT,B;223;4382969;66;20241028 01:06;;;69;PORT HEDLAND RD;EDMONDSON PARK;2174;453.3;M;20240903;20241018;985000;R1;R;RESIDENCE;;DAA;;0;AU507648;
223_SALES_DATA_NNME_28102024.DAT,B;223;4416388;67;20241028 01:06;;;20;CLOVER AVE;CASULA;2170;501.2;M;20240902;20241021;965000;R2;V;VACANT LAND;;AAA;;0;AU514871;
223_SALES_DATA_NNME_28102024.DAT,B;223;4490049;68;20241028 01:06;;;77;WEYMAN RD;AUSTRAL;2179;303.3;M;20230628;20241022;550000;R2;V;VACANT LAND;;AUS;;0;AU519445;
223_SALES_DATA_NNME_28102024.DAT,B;223;4490049;69;20241028 01:06;;;77;WEYMAN RD;AUSTRAL;2179;303.3;M;20240916;20241022;610000;R2;R;RESIDENCE;;AUS;;0;AU519446;
223_SALES_DATA_NNME_28102024.DAT,B;223;4398316;70;20241028 01:06;;;62;CROP AVE;AUSTRAL;2179;196.2;M;20240904;20241023;920000;R3;R;RESIDENCE;;AST;;0;AU520407;
223_SALES_DATA_NNME_28102024.DAT,B;223;4494714;71;20241028 01:06;;;3;CUMULUS ST;AUSTRAL;2179;405.7;M;20240910;20241022;720000;R2;V;VACANT LAND;;AUS;;0;AU517434;
223_SALES_DATA_NNME_28102024.DAT,B;223;4470273;72;20241028 01:06;;;140;SIXTH AVE;AUSTRAL;2179;1.214;H;20240924;20241021;8500000;R2;3;COMMERCIAL;;AWW;;0;AU513720;
223_SALES_DATA_NNME_28102024.DAT,B;223;4494474;73;20241028 01:06;;;19;HAIL ST;AUSTRAL;2179;450.1;M;20240918;20241023;795000;R2;V;VACANT LAND;;AUS;;0;AU520928;
223_SALES_DATA_NNME_28102024.DAT,B;223;4446962;74;20241028 01:06;;;13;BOYD ST;AUSTRAL;2179;303.7;M;20240906;20241022;1175000;R2;R;RESIDENCE;;AUS;;0;AU517484;
223_SALES_DATA_NNME_28102024.DAT,B;223;4456804;75;20241028 01:06;;801;311;HUME HWY;LIVERPOOL;2170;95;M;20240909;20241021;558000;;R;RESIDENCE;57;;;0;AU512415;
223_SALES_DATA_NNME_28102024.DAT,B;223;4405199;76;20241028 01:06;;1312;32;SHEPHERD ST;LIVERPOOL;2170;106;M;20240903;20241018;640000;;R;RESIDENCE;159;;;0;AU509705;
223_SALES_DATA_NNME_28102024.DAT,B;223;4395258;77;20241028 01:06;;;11;CHARA RD;AUSTRAL;2179;290.1;M;20240910;20241022;595000;R2;V;VACANT LAND;;AUS;;0;AU516798;
223_SALES_DATA_NNME_28102024.DAT,B;223;3809762;78;20241028 01:06;;;10;GLOBE ST;MIDDLETON GRANGE;2171;417;M;20241002;20241023;425000;R1;R;RESIDENCE;;DAB;;0;AU520678;
223_SALES_DATA_NNME_28102024.DAT,B;223;3837564;79;20241028 01:06;;701;1;MILL RD;LIVERPOOL;2170;114;M;20240907;20241021;499000;;R;RESIDENCE;43;;;0;AU512505;
223_SALES_DATA_NNME_28102024.DAT,B;223;3794491;80;20241028 01:06;;;8;HERTFORDSHIRE ST;ELIZABETH HILLS;2171;450;M;20240824;20241018;1715000;R1;R;RESIDENCE;;DAC;;0;AU511273;
223_SALES_DATA_NNME_28102024.DAT,B;223;3883476;81;20241028 01:06;;;51;PASSENDALE RD;EDMONDSON PARK;2174;450;M;20240826;20241022;1410000;R1;R;RESIDENCE;;DAA;;0;AU516355;
223_SALES_DATA_NNME_28102024.DAT,B;223;3844332;82;20241028 01:06;;16;93;CAMPBELL ST;LIVERPOOL;2170;102;M;20240906;20241018;480000;;R;RESIDENCE;16;;;0;AU510169;
223_SALES_DATA_NNME_28102024.DAT,B;223;3960790;83;20241028 01:06;;;34;PORT HEDLAND RD;EDMONDSON PARK;2174;412.2;M;20240828;20241018;1300000;R1;R;RESIDENCE;;DAA;;0;AU511087;
223_SALES_DATA_NNME_28102024.DAT,B;223;3960114;84;20241028 01:06;;;132;DALMATIA AVE;EDMONDSON PARK;2174;320.2;M;20240918;20241018;1150000;R1;R;RESIDENCE;;DAA;;0;AU510116;
223_SALES_DATA_NNME_28102024.DAT,B;223;3911091;85;20241028 01:06;;;12;JAQUETTA CL;CECIL HILLS;2171;481.5;M;20241018;20241023;2126000;R2;R;RESIDENCE;;ASS;;0;AU522774;
223_SALES_DATA_NNME_28102024.DAT,B;223;3917297;86;20241028 01:06;;;3;WONSON RD;EDMONDSON PARK;2174;354.7;M;20240911;20241023;1190000;R1;R;RESIDENCE;;DAA;;0;AU521377;
223_SALES_DATA_NNME_28102024.DAT,B;223;4290131;87;20241028 01:06;;9;9;GOULBURN ST;WARWICK FARM;2170;;;20240911;20241023;460000;;R;RESIDENCE;9;;;0;AU521120;
223_SALES_DATA_NNME_28102024.DAT,B;223;4357678;88;20241028 01:06;;;160;KELLY ST;AUSTRAL;2179;320;M;20240909;20241021;1048000;R2;R;RESIDENCE;;AUS;;0;AU512207;
223_SALES_DATA_NNME_28102024.DAT,B;223;4353369;89;20241028 01:06;;;61;FARRELL ST;EDMONDSON PARK;2174;207;M;20240906;20241018;940000;;R;RESIDENCE;7;;;0;AU508944;
238_SALES_DATA_NNME_28102024.DAT,B;238;2632382;1;20241028 01:06;MUTTAMA STATION ;;3698;QUAMBONE RD;QUAMBONE;2831;12198;H;20240830;20241011;42380000;RU1;3;FARM;;RGA;;0;AU491049;
238_SALES_DATA_NNME_28102024.DAT,B;238;2632473;2;20241028 01:06;;;116;ABERFORD ST;COONAMBLE;2829;1012;M;20240927;20241018;215000;E3;R;RESIDENCE;;BBD;;0;AU510198;
238_SALES_DATA_NNME_28102024.DAT,B;238;2633812;3;20241028 01:06;MURRAYFIELD ;;2180;QUAMBONE RD;COONAMBLE;2829;160.8;H;20240925;20241021;535000;RU1;R;RESIDENCE;;RMD;;0;AU512008;
238_SALES_DATA_NNME_28102024.DAT,B;238;4578279;4;20241028 01:06;WOOROONOO;;789;QUANDONG RD;COONAMBLE;2829;23.6;H;20240110;20240903;8779;;V;VACANT LAND;;;;0;AU391175;
238_SALES_DATA_NNME_28102024.DAT,B;238;2634654;5;20241028 01:06;;;3212;NATIONAL PARK RD;WARRUMBUNGLE;2828;28.33;H;20240826;20241008;1800000;RU1;3;FARM;;RMA;;0;AU479447;
666_SALES_DATA_NNME_28102024.DAT,B;666;3478688;1;20241028 01:08;;;7;STOKES AVE;WESTDALE;2340;600;M;20240911;20241023;629000;R1;R;RESIDENCE;;AOV;;0;AU520543;
666_SALES_DATA_NNME_28102024.DAT,B;666;4577441;2;20241028 01:08;;;;PORCUPINE LANE;TINTINHULL;2352;3.237;H;20240827;20241008;320000;;V;VACANT LAND;;;;0;AU477753;
666_SALES_DATA_NNME_28102024.DAT,B;666;4577776;3;20241028 01:08;;;;GUNNEDAH RD;TAMINDA;2340;6005;M;20240828;20241009;1265000;;V;VACANT LAND;;;;0;AU483905;
